Intervalle:600 sec;;;;;;;;;;;
Tension:229.999 V;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Date/Heure:2018/25/04;10:00.0;20:00.0;;;;;;;;;
;;;;;;;;;;;
Date;Heure;'UL1_[V]';'UL2_[V]';'UL3_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';;;
2018/25/04;30:00.0;236.861;235.554;236.656;2.176;0.843;1.138;1.898;;;
2018/25/04;40:00.0;234.991;233.829;235.082;2.407;0.842;1.135;2.112;;;
2018/25/04;50:00.0;235.443;234.207;235.474;2.521;0.846;1.142;2.207;;;
2018/25/04;00:00.0;235.934;234.493;236.057;2.476;0.925;1.13;2.116;;;
2018/25/04;10:00.0;236.199;235.007;236.234;2.474;0.873;0.853;2.37;;;
2018/25/04;20:00.0;235.917;234.878;235.505;2.56;0.81;2.178;3.189;;;
2018/25/04;30:00.0;236.557;234.588;234.072;2.285;0.715;9.052;8.162;;;
2018/25/04;40:00.0;235.597;234.374;234.794;2.211;0.773;5.545;5.305;;;
2018/25/04;50:00.0;235.642;234.494;235.569;2.187;0.867;0.581;2.316;;;
2018/25/04;00:00.0;236.232;235.231;235.974;2.177;0.862;0.581;2.284;;;
2018/25/04;10:00.0;236.543;235.026;235.924;1.882;0.799;0.579;1.971;;;
2018/25/04;20:00.0;236.912;235.238;235.962;0.905;0.777;0.576;0.56;;;
2018/25/04;30:00.0;237.049;235.692;236.098;0.904;0.778;0.574;0.552;;;
2018/25/04;40:00.0;236.924;235.685;236.15;0.951;0.84;0.569;0.699;;;
2018/25/04;50:00.0;237.563;236.286;236.768;0.891;0.845;0.567;0.522;;;
2018/26/04;00:00.0;236.237;235.198;235.323;0.901;0.8;0.568;0.926;;;
2018/26/04;10:00.0;237.239;236.148;236.232;0.922;0.797;0.584;1.075;;;
2018/26/04;20:00.0;237.796;236.333;236.876;0.914;0.789;0.572;0.814;;;
2018/26/04;30:00.0;237.714;236.182;236.841;0.907;0.823;0.572;0.589;;;
2018/26/04;40:00.0;238.177;236.782;237.268;0.912;0.838;0.572;0.481;;;
2018/26/04;50:00.0;238.524;236.855;237.342;0.911;0.802;0.571;0.516;;;
2018/26/04;00:00.0;238.347;236.855;237.29;0.911;0.779;0.573;0.536;;;
2018/26/04;10:00.0;238.368;236.94;237.375;0.911;0.779;0.575;0.539;;;
2018/26/04;20:00.0;238.384;237.022;237.502;0.911;0.815;0.576;0.586;;;
2018/26/04;30:00.0;238.178;237.127;237.476;0.914;0.834;0.574;0.47;;;
2018/26/04;40:00.0;238.75;237.261;237.834;0.978;0.812;0.58;0.689;;;
2018/26/04;50:00.0;238.713;237.267;237.658;0.917;0.786;0.58;0.635;;;
2018/26/04;00:00.0;238.44;237.126;237.403;0.905;0.781;0.58;0.622;;;
2018/26/04;10:00.0;236.501;235.121;235.47;0.897;0.775;0.575;0.616;;;
2018/26/04;20:00.0;235.633;234.355;234.648;0.903;0.845;0.572;0.545;;;
2018/26/04;30:00.0;235.825;234.328;234.722;0.906;0.8;0.573;0.491;;;
2018/26/04;40:00.0;235.803;234.363;234.771;0.905;0.769;0.576;0.546;;;
2018/26/04;50:00.0;235.832;234.449;234.845;0.905;0.769;0.576;0.547;;;
2018/26/04;00:00.0;235.776;234.157;234.7;0.905;0.768;0.576;0.548;;;
2018/26/04;10:00.0;235.619;234.212;234.149;0.906;0.835;0.574;0.552;;;
2018/26/04;20:00.0;235.892;234.245;234.11;0.907;0.806;0.574;0.49;;;
2018/26/04;30:00.0;235.61;234.052;233.955;0.96;0.772;0.576;0.68;;;
2018/26/04;40:00.0;235.541;234.22;234.516;0.926;0.776;0.58;0.675;;;
2018/26/04;50:00.0;235.365;234.045;234.245;0.907;0.775;0.58;0.645;;;
2018/26/04;00:00.0;235.116;234.028;234.338;0.9;0.834;0.577;0.615;;;
